2026-03-28 17:20:07 | INFO    | trading_bot | ========================================
2026-03-28 17:20:07 | INFO    | trading_bot | New order request received
2026-03-28 17:20:07 | INFO    | trading_bot.validators | Validation passed: BTCUSDT BUY MARKET qty=0.01
2026-03-28 17:20:07 | INFO    | trading_bot.orders | Executing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'price': None, 'stop_price': None}
2026-03-28 17:20:11 | INFO    | trading_bot.client | Connected to Binance Futures testnet
2026-03-28 17:20:11 | INFO    | trading_bot.client | Attempting real order: BUY 0.01 BTCUSDT
2026-03-28 17:20:11 | ERROR   | trading_bot.client | Real order failed: APIError(code=-2014): API-key format invalid.
2026-03-28 17:20:11 | INFO    | trading_bot.client | Falling back to simulated order...
2026-03-28 17:20:11 | INFO    | trading_bot.client | Generated simulated response for BTCUSDT
2026-03-28 17:20:12 | INFO    | trading_bot.history | Trade saved to history (total: 5 trades)
2026-03-28 17:20:12 | INFO    | trading_bot | Order completed successfully
2026-03-28 17:23:27 | INFO    | trading_bot | ========================================
2026-03-28 17:23:27 | INFO    | trading_bot | New order request received
2026-03-28 17:23:27 | INFO    | trading_bot.validators | Validation passed: BTCUSDT BUY MARKET qty=0.01
2026-03-28 17:23:27 | INFO    | trading_bot.orders | Executing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'price': None, 'stop_price': None}
2026-03-28 17:23:30 | INFO    | trading_bot.client | Connected to Binance Futures testnet
2026-03-28 17:23:30 | INFO    | trading_bot.client | Attempting real order: BUY 0.01 BTCUSDT
2026-03-28 17:23:30 | ERROR   | trading_bot.client | Real order failed: APIError(code=-2014): API-key format invalid.
2026-03-28 17:23:30 | INFO    | trading_bot.client | Falling back to simulated order...
2026-03-28 17:23:30 | INFO    | trading_bot.client | Generated simulated response for BTCUSDT
2026-03-28 17:23:30 | INFO    | trading_bot.history | Trade saved to history (total: 6 trades)
2026-03-28 17:23:30 | INFO    | trading_bot | Order completed successfully
2026-03-28 17:25:21 | INFO    | trading_bot | ========================================
2026-03-28 17:25:21 | INFO    | trading_bot | New order request received
2026-03-28 17:25:21 | INFO    | trading_bot.validators | Validation passed: BTCUSDT BUY MARKET qty=0.01
2026-03-28 17:25:21 | INFO    | trading_bot.orders | Executing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'price': None, 'stop_price': None}
2026-03-28 17:25:24 | INFO    | trading_bot.client | Connected to Binance Futures testnet
2026-03-28 17:25:24 | INFO    | trading_bot.client | Attempting real order: BUY 0.01 BTCUSDT
2026-03-28 17:25:24 | ERROR   | trading_bot.client | Real order failed: APIError(code=-2014): API-key format invalid.
2026-03-28 17:25:24 | INFO    | trading_bot.client | Falling back to simulated order...
2026-03-28 17:25:25 | INFO    | trading_bot.client | Generated simulated response for BTCUSDT
2026-03-28 17:25:25 | INFO    | trading_bot.history | Trade saved to history (total: 7 trades)
2026-03-28 17:25:25 | INFO    | trading_bot | Order completed successfully
2026-03-28 17:30:42 | DEBUG   | trading_bot.dashboard | HTTP GET / HTTP/1.1
2026-03-28 17:30:42 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:30:42 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:30:42 | DEBUG   | trading_bot.dashboard | HTTP GET /favicon.ico HTTP/1.1
2026-03-28 17:30:47 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:30:48 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:30:48 | DEBUG   | trading_bot.dashboard | HTTP GET / HTTP/1.1
2026-03-28 17:30:49 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:30:49 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:30:52 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:30:52 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:30:53 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:30:54 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:30:57 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:30:57 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:30:58 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:30:59 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:02 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:02 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:03 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:04 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:07 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:07 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:08 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:09 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:12 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:12 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:13 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:14 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:17 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:17 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:18 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:19 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:22 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:22 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:23 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:24 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:27 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:27 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:28 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:29 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:32 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:32 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:32 | INFO    | trading_bot.validators | Validation passed: BTCUSDT BUY MARKET qty=0.01
2026-03-28 17:31:32 | INFO    | trading_bot.orders | Executing order: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.01, 'price': None, 'stop_price': None}
2026-03-28 17:31:35 | INFO    | trading_bot.client | Connected to Binance Futures testnet
2026-03-28 17:31:35 | INFO    | trading_bot.client | Attempting real order: BUY 0.01 BTCUSDT
2026-03-28 17:31:35 | ERROR   | trading_bot.client | Real order failed: APIError(code=-2014): API-key format invalid.
2026-03-28 17:31:35 | INFO    | trading_bot.client | Falling back to simulated order...
2026-03-28 17:31:36 | INFO    | trading_bot.client | Generated simulated response for BTCUSDT
2026-03-28 17:31:36 | INFO    | trading_bot.history | Trade saved to history (total: 8 trades)
2026-03-28 17:31:36 | DEBUG   | trading_bot.dashboard | HTTP POST /api/order HTTP/1.1
2026-03-28 17:31:36 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:36 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:36 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:36 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:37 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:37 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:38 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:39 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:42 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:42 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:43 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:44 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:47 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:47 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
2026-03-28 17:31:48 | DEBUG   | trading_bot.dashboard | HTTP GET /api/history HTTP/1.1
2026-03-28 17:31:49 | DEBUG   | trading_bot.dashboard | HTTP GET /api/stats HTTP/1.1
